,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:option,Tag_Count_html:label,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:ol,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:em,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:select,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:fieldset,Tag_Count_html:h1,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_for,Attr_maxlength,Attr_autocomplete,Attr_tabindex
235,10,272,"<html:select xmlns:html=""http://www.w3.org/1999/xhtml"" id=""emailConfigurationForm_cmbMailSendingMethod"" name=""emailConfigurationForm[cmbMailSendingMethod]"">",156,html:select,"['id=""emailConfigurationForm_cmbMailSendingMethod""', 'name=""emailConfigurationForm[cmbMailSendingMethod]""']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,emailConfigurationForm_cmbMailSendingMethod,,,,,,,,,,emailConfigurationForm[cmbMailSendingMethod],,,,,,,,,,,,,,,,,,,,
236,11,96,"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""sendmail"">",72,html:option,"['value=""sendmail""']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,sendmail,,,,,,,,,,,,,,,,,,,,,,,,
237,11,88,"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""smtp"">",68,html:option,"['value=""smtp""']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,smtp,,,,,,,,,,,,,,,,,,,,,,,,
238,9,329,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"" class=""toggleDiv"" id=""divsendmailControls"">",94,html:li,"['class=""toggleDiv""', 'id=""divsendmailControls""']",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,divsendmailControls,,,,,toggleDiv,,,,,,,,,,,,,,,,,,,,,,,,,
239,10,128,"<html:label xmlns:html=""http://www.w3.org/1999/xhtml"" for=""emailConfigurationForm_txtSendmailPath"">",99,html:label,"['for=""emailConfigurationForm_txtSendmailPath""']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emailConfigurationForm_txtSendmailPath,,,
240,10,175,"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""emailConfigurationForm_txtSendmailPath"" maxlength=""100"" name=""emailConfigurationForm[txtSendmailPath]"" type=""text"" />",175,html:input,"['id=""emailConfigurationForm_txtSendmailPath""', 'maxlength=""100""', 'name=""emailConfigurationForm[txtSendmailPath]""', 'type=""text""']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,text,,,emailConfigurationForm_txtSendmailPath,,,,,,,,,,emailConfigurationForm[txtSendmailPath],,,,,,,,,,,,,,,,,,100,,
241,8,2545,"<html:ol xmlns:html=""http://www.w3.org/1999/xhtml"" class=""toggleDiv"" id=""divsmtpControls"">",90,html:ol,"['class=""toggleDiv""', 'id=""divsmtpControls""']",0,11,0,0,0,1,0,0,0,11,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,divsmtpControls,,,,,toggleDiv,,,,,,,,,,,,,,,,,,,,,,,,,
242,9,267,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,10,117,"<html:label xmlns:html=""http://www.w3.org/1999/xhtml"" for=""emailConfigurationForm_txtSmtpHost"">",95,html:label,"['for=""emailConfigurationForm_txtSmtpHost""']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emailConfigurationForm_txtSmtpHost,,,
244,10,167,"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""emailConfigurationForm_txtSmtpHost"" maxlength=""100"" name=""emailConfigurationForm[txtSmtpHost]"" type=""text"" />",167,html:input,"['id=""emailConfigurationForm_txtSmtpHost""', 'maxlength=""100""', 'name=""emailConfigurationForm[txtSmtpHost]""', 'type=""text""']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,text,,,emailConfigurationForm_txtSmtpHost,,,,,,,,,,emailConfigurationForm[txtSmtpHost],,,,,,,,,,,,,,,,,,100,,
245,9,267,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,10,117,"<html:label xmlns:html=""http://www.w3.org/1999/xhtml"" for=""emailConfigurationForm_txtSmtpPort"">",95,html:label,"['for=""emailConfigurationForm_txtSmtpPort""']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emailConfigurationForm_txtSmtpPort,,,
