,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:option,Tag_Count_html:label,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:ol,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:td,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_html:table,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:tr,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:tbody,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:select,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:fieldset,Tag_Count_html:th,Tag_Count_html:h1,Tag_Count_html:thead,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_for,Attr_selected,Attr_rowspan,Attr_colspan
505,13,191,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""null"" href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=name&amp;sortOrder=ASC"">",178,html:a,"['class=""null""', 'href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=name&amp;sortOrder=ASC""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=name&amp;sortOrder=ASC,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,
506,12,257,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" class=""header"" rowspan=""1"" style=""width:20%"">",96,html:th,"['class=""header""', 'rowspan=""1""', 'style=""width:20%""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,header,,,,,,,,width:20%,,,,,,,,,,,,,,,,1,
507,13,191,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""null"" href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=city&amp;sortOrder=ASC"">",178,html:a,"['class=""null""', 'href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=city&amp;sortOrder=ASC""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=city&amp;sortOrder=ASC,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,
508,12,267,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" class=""header"" rowspan=""1"" style=""width:20%"">",96,html:th,"['class=""header""', 'rowspan=""1""', 'style=""width:20%""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,header,,,,,,,,width:20%,,,,,,,,,,,,,,,,1,
509,13,201,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""null"" href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=countryName&amp;sortOrder=ASC"">",185,html:a,"['class=""null""', 'href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=countryName&amp;sortOrder=ASC""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=countryName&amp;sortOrder=ASC,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,
510,12,259,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" class=""header"" rowspan=""1"" style=""width:18%"">",96,html:th,"['class=""header""', 'rowspan=""1""', 'style=""width:18%""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,header,,,,,,,,width:18%,,,,,,,,,,,,,,,,1,
511,13,193,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""null"" href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=phone&amp;sortOrder=ASC"">",179,html:a,"['class=""null""', 'href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=phone&amp;sortOrder=ASC""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=phone&amp;sortOrder=ASC,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,
512,12,285,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" class=""header"" rowspan=""1"" style=""width:15%"">",96,html:th,"['class=""header""', 'rowspan=""1""', 'style=""width:15%""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,header,,,,,,,,width:15%,,,,,,,,,,,,,,,,1,
513,13,219,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""null"" href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=numberOfEmployees&amp;sortOrder=ASC"">",191,html:a,"['class=""null""', 'href=""http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=numberOfEmployees&amp;sortOrder=ASC""']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://127.0.0.1/orangehrm-4.3.1/symfony/web/index.php/admin/viewLocations?sortField=numberOfEmployees&amp;sortOrder=ASC,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,
514,10,143,"<html:tbody xmlns:html=""http://www.w3.org/1999/xhtml"">",54,html:tbody,[],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
